provinsi;kabupaten_kota;year_2009;year_2010;year_2011;year_2012;year_2013;year_2014;year_2015;year_2016;year_2017;year_2018;year_2019;year_2020;year_2021;year_2022
Jawa Timur;Pacitan;110729;127045;122137;119380;122115;132395;138639;147800;161191;183916;217989;281705;321971;360782
Jawa Timur;Ponorogo;83961;86190;149416;163713;166398;163704;218414;194584;205942;265388;265377;254878;255771;256082
Jawa Timur;Trenggalek;222019;219300;226470;229377;233965;340635;362287;383369;398012;417508;424558;427365;432539;447649
Jawa Timur;Tulungagung;118075;122319;174689;175111;177087;181029;185936;191915;215420;197174;200454;203557;209955;214754
Jawa Timur;Blitar;120988;116795;116778;128455;100326;136967;139021;139401;153341;154100;154200;153800;157100;160291
Jawa Timur;Kediri;137737;132405;120588;129085;133280;135280;137309;139369;141670;143092;144718;145565;147285;149137
Jawa Timur;Malang;187344;180178;194269;203932;225374;235121;240823;248048;253209;258317;261546;281629;290378;299773
Jawa Timur;Lumajang;80369;87641;85733;88558;91038;93585;97224;103645;103658;111657;114533;121591;138112;145918
Jawa Timur;Jember;61139;58996;46973;47677;48962;49514;50259;51264;52288;53374;54445;55535;56194;63444
Jawa Timur;Banyuwangi;70473;70163;67101;67149;67149;79627;92554;118068;125479;126110;116671;136901;120698;124929
Jawa Timur;Bondowoso;22926;25511;31312;38083;38991;37717;40185;43898;44399;45976;47170;51611;54809;57235
Jawa Timur;Situbondo;65919;63637;81054;52907;49280;49977;50614;73780;41539;40083;33856;33322;32108;31720
Jawa Timur;Probolinggo;56834;56119;51170;47141;48812;50139;58598;61646;67489;51550;43560;59858;51499;53675
Jawa Timur;Pasuruan;86533;96290;81210;66724;66724;69597;71466;71179;71880;71996;72262;71998;72160;70676
Jawa Timur;Sidoarjo;38212;34276;29249;29442;32375;31520;31617;32169;36369;37390;39743;41190;41999;43426
Jawa Timur;Mojokerto;155779;172303;166865;164466;164466;116736;48537;51096;50037;49729;44270;44650;40393;39901
Jawa Timur;Jombang;106213;122201;117364;128939;135131;135793;135590;122269;110042;96557;99056;99705;116106;120758
Jawa Timur;Nganjuk;151734;147589;118393;119288;119556;120571;122698;122768;123746;125065;126317;126112;128141;129201
Jawa Timur;Madiun;46144;46965;46864;58955;67500;64271;68294;72613;76445;78777;83503;85187;87243;90139
Jawa Timur;Magetan;39866;39267;34055;36801;39418;37918;41747;38376;40864;44163;44239;44434;44726;45511
Jawa Timur;Ngawi;71696;79309;77785;78258;82188;78543;78577;82763;79703;80440;80880;81136;86464;95436
Jawa Timur;Bojonegoro;95266;96701;96195;98704;105013;110461;117742;122961;129503;135570;142293;149826;154758;162091
Jawa Timur;Tuban;107002;102886;92423;81126;105639;115623;118797;127898;131052;137615;138505;139065;137675;141202
Jawa Timur;Lamongan;74834;71661;86394;95828;96185;99852;100184;102115;103953;105005;107355;89443;92109;91812
Jawa Timur;Gresik;70517;69483;59240;65210;65270;66357;67602;70029;73546;76839;77429;77741;79059;80986
Jawa Timur;Bangkalan;78493;80865;68378;79733;70405;70990;72225;73003;89899;91563;90511;92460;86607;89131
Jawa Timur;Sampang;53845;52085;45486;45786;45663;45539;45994;46182;46587;46760;47884;48240;57164;58881
Jawa Timur;Pamekasan;57976;64026;62397;62450;62762;63150;65171;66398;66418;66426;66437;66385;66433;88787
Jawa Timur;Sumenep;170297;164230;146928;145947;146835;147735;148683;150156;151714;153378;154251;155148;156034;157224
Jawa Timur;Kota Kediri;2465;2383;2091;2940;1852;2465;2596;2442;2486;2813;3798;4263;4683;4967
Jawa Timur;Kota Blitar;4820;5571;5174;4416;4573;4471;4163;3601;3274;3352;3475;3108;3114;3073
Jawa Timur;Kota Malang;1310;1273;996;1012;1052;1071;1094;1116;1035;1209;1236;1563;1576;1640
Jawa Timur;Kota Probolinggo;6345;7007;6757;6901;7180;7435;7547;7703;7858;8017;8177;3226;3247;3057
Jawa Timur;Kota Pasuruan;5365;4250;5494;3410;2116;2302;2372;2892;2997;3104;3142;3191;3232;3309
Jawa Timur;Kota Mojokerto;2271;2125;1714;1630;1892;1018;1380;1660;1810;1230;1087;934;1065;1058
Jawa Timur;Kota Madiun;2541;2827;2749;2697;2751;2806;2861;2899;2918;2861;2804;2840;2765;2767
Jawa Timur;Surabaya;6605;5942;4161;3223;3097;2299;1747;1892;2165;2566;1193;810;996;971
Jawa Timur;Batu;4902;5098;4865;4915;5560;5946;7650;6765;6385;5965;5975;5808;5735;5792
