provinsi;kabupaten_kota;year_2009;year_2010;year_2011;year_2012;year_2013;year_2014;year_2015;year_2016;year_2017;year_2018;year_2019;year_2020;year_2021;year_2022
Jawa Timur;Pacitan;110.729;127.045;122.137;119.380;122.115;132.395;138.639;147.800;161.191;183.916;217.989;281.705;321.971;360.782
Jawa Timur;Ponorogo;83.961;86.190;149.416;163.713;166.398;163.704;218.414;194.584;205.942;265.388;265.377;254.878;255.771;256.082
Jawa Timur;Trenggalek;222.019;219.300;226.470;229.377;233.965;340.635;362.287;383.369;398.012;417.508;424.558;427.365;432.539;447.649
Jawa Timur;Tulungagung;118.075;122.319;174.689;175.111;177.087;181.029;185.936;191.915;215.420;197.174;200.454;203.557;209.955;214.754
Jawa Timur;Blitar;120.988;116.795;116.778;128.455;100.326;136.967;139.021;139.401;153.341;154.100;154.200;153.800;157.100;160.291
Jawa Timur;Kediri;137.737;132.405;120.588;129.085;133.280;135.280;137.309;139.369;141.670;143.092;144.718;145.565;147.285;149.137
Jawa Timur;Malang;187.344;180.178;194.269;203.932;225.374;235.121;240.823;248.048;253.209;258.317;261.546;281.629;290.378;299.773
Jawa Timur;Lumajang;80.369;87.641;85.733;88.558;91.038;93.585;97.224;103.645;103.658;111.657;114.533;121.591;138.112;145.918
Jawa Timur;Jember;61.139;58.996;46.973;47.677;48.962;49.514;50.259;51.264;52.288;53.374;54.445;55.535;56.194;63.444
Jawa Timur;Banyuwangi;70.473;70.163;67.101;67.149;67.149;79.627;92.554;118.068;125.479;126.110;116.671;136.901;120.698;124.929
Jawa Timur;Bondowoso;22.926;25.511;31.312;38.083;38.991;37.717;40.185;43.898;44.399;45.976;47.170;51.611;54.809;57.235
Jawa Timur;Situbondo;65.919;63.637;81.054;52.907;49.280;49.977;50.614;73.780;41.539;40.083;33.856;33.322;32.108;31.720
Jawa Timur;Probolinggo;56.834;56.119;51.170;47.141;48.812;50.139;58.598;61.646;67.489;51.550;43.560;59.858;51.499;53.675
Jawa Timur;Pasuruan;86.533;96.290;81.210;66.724;66.724;69.597;71.466;71.179;71.880;71.996;72.262;71.998;72.160;70.676
Jawa Timur;Sidoarjo;38.212;34.276;29.249;29.442;32.375;31.520;31.617;32.169;36.369;37.390;39.743;41.190;41.999;43.426
Jawa Timur;Mojokerto;155.779;172.303;166.865;164.466;164.466;116.736;48.537;51.096;50.037;49.729;44.270;44.650;40.393;39.901
Jawa Timur;Jombang;106.213;122.201;117.364;128.939;135.131;135.793;135.590;122.269;110.042;96.557;99.056;99.705;116.106;120.758
Jawa Timur;Nganjuk;151.734;147.589;118.393;119.288;119.556;120.571;122.698;122.768;123.746;125.065;126.317;126.112;128.141;129.201
Jawa Timur;Madiun;46.144;46.965;46.864;58.955;67.500;64.271;68.294;72.613;76.445;78.777;83.503;85.187;87.243;90.139
Jawa Timur;Magetan;39.866;39.267;34.055;36.801;39.418;37.918;41.747;38.376;40.864;44.163;44.239;44.434;44.726;45.511
Jawa Timur;Ngawi;71.696;79.309;77.785;78.258;82.188;78.543;78.577;82.763;79.703;80.440;80.880;81.136;86.464;95.436
Jawa Timur;Bojonegoro;95.266;96.701;96.195;98.704;105.013;110.461;117.742;122.961;129.503;135.570;142.293;149.826;154.758;162.091
Jawa Timur;Tuban;107.002;102.886;92.423;81.126;105.639;115.623;118.797;127.898;131.052;137.615;138.505;139.065;137.675;141.202
Jawa Timur;Lamongan;74.834;71.661;86.394;95.828;96.185;99.852;100.184;102.115;103.953;105.005;107.355;89.443;92.109;91.812
Jawa Timur;Gresik;70.517;69.483;59.240;65.210;65.270;66.357;67.602;70.029;73.546;76.839;77.429;77.741;79.059;80.986
Jawa Timur;Bangkalan;78.493;80.865;68.378;79.733;70.405;70.990;72.225;73.003;89.899;91.563;90.511;92.460;86.607;89.131
Jawa Timur;Sampang;53.845;52.085;45.486;45.786;45.663;45.539;45.994;46.182;46.587;46.760;47.884;48.240;57.164;58.881
Jawa Timur;Pamekasan;57.976;64.026;62.397;62.450;62.762;63.150;65.171;66.398;66.418;66.426;66.437;66.385;66.433;88.787
Jawa Timur;Sumenep;170.297;164.230;146.928;145.947;146.835;147.735;148.683;150.156;151.714;153.378;154.251;155.148;156.034;157.224
Jawa Timur;Kota Kediri;2.465;2.383;2.091;2.940;1.852;2.465;2.596;2.442;2.486;2.813;3.798;4.263;4.683;4.967
Jawa Timur;Kota Blitar;4.820;5.571;5.174;4.416;4.573;4.471;4.163;3.601;3.274;3.352;3.475;3.108;3.114;3.073
Jawa Timur;Kota Malang;1.310;1.273;996;1.012;1.052;1.071;1.094;1.116;1.035;1.209;1.236;1.563;1.576;1.640
Jawa Timur;Kota Probolinggo;6.345;7.007;6.757;6.901;7.180;7.435;7.547;7.703;7.858;8.017;8.177;3.226;3.247;3.057
Jawa Timur;Kota Pasuruan;5.365;4.250;5.494;3.410;2.116;2.302;2.372;2.892;2.997;3.104;3.142;3.191;3.232;3.309
Jawa Timur;Kota Mojokerto;2.271;2.125;1.714;1.630;1.892;1.018;1.380;1.660;1.810;1.230;1.087;934;1.065;1.058
Jawa Timur;Kota Madiun;2.541;2.827;2.749;2.697;2.751;2.806;2.861;2.899;2.918;2.861;2.804;2.840;2.765;2.767
Jawa Timur;Surabaya;6.605;5.942;4.161;3.223;3.097;2.299;1.747;1.892;2.165;2.566;1.193;810;996;971
Jawa Timur;Batu;4.902;5.098;4.865;4.915;5.560;5.946;7.650;6.765;6.385;5.965;5.975;5.808;5.735;5.792
